year,lat,sst
2013,-30.0,22.12674976190476
2013,-20.0,26.281106356060604
2013,-10.0,28.530886740384616
2014,-40.0,15.109439865384616
2014,-30.0,21.973712047619046
2014,-20.0,26.102904712121212
2014,-10.0,28.35641547115385
2015,-40.0,14.981348544871794
2015,-30.0,22.222241916666665
2015,-20.0,26.270177287878784
2015,-10.0,28.43920746474359
2016,-40.0,15.024229559294872
2016,-30.0,21.95110454761905
2016,-20.0,26.582931371212123
2016,-10.0,29.108256057692305
2017,-40.0,14.98455736698718
2017,-30.0,22.039814392857142
2017,-20.0,26.255800439393937
2017,-10.0,28.663899673076923
2018,-40.0,14.9620698125
2018,-30.0,22.010135571428574
2018,-20.0,26.13467873484848
2018,-10.0,28.45839364102564
2019,-40.0,14.702769661858975
2019,-30.0,21.934549821428572
2019,-20.0,26.06635891666667
2019,-10.0,28.057787506410254
2020,-40.0,14.682976493589743
2020,-30.0,22.12119470238095
2020,-20.0,26.544619121212122
2020,-10.0,28.75155012820513
2021,-40.0,14.794660365384615
2021,-30.0,21.974654
2021,-20.0,26.362962174242426
2021,-10.0,28.606497669871796
2022,-40.0,15.142449685897438
2022,-30.0,22.035930142857143
2022,-20.0,26.564013015151517
2022,-10.0,29.04114992948718
2023,-40.0,15.03990077724359
2023,-30.0,22.005696154761903
2023,-20.0,26.198884568181814
2023,-10.0,28.49485773076923
2024,-40.0,15.3570355625
2024,-30.0,22.48700570238095
2024,-20.0,26.578562257575758
2024,-10.0,28.94333337820513
2025,-40.0,15.603781457264956
2025,-30.0,22.711541603174602
2025,-20.0,26.75306285858586
2025,-10.0,28.98943288888889
