time,lat,lon,ph_total
2021-01-15,-67.5,177.5,8.100933
2021-01-15,-67.5,178.5,8.101881
2021-01-15,-67.5,179.5,8.101881
2021-01-15,-66.5,144.5,8.212142
2021-01-15,-66.5,145.5,8.212142
2021-01-15,-66.5,146.5,8.218191
2021-01-15,-66.5,147.5,8.230105
2021-01-15,-66.5,148.5,8.231891
2021-01-15,-66.5,149.5,8.182461
2021-01-15,-66.5,150.5,8.157805
2021-01-15,-66.5,151.5,8.150343
2021-01-15,-66.5,152.5,8.151855
2021-01-15,-66.5,153.5,8.145589
2021-01-15,-66.5,154.5,8.126052
2021-01-15,-66.5,155.5,8.110732
2021-01-15,-66.5,156.5,8.111721
2021-01-15,-66.5,157.5,8.108643
2021-01-15,-66.5,158.5,8.101585
2021-01-15,-66.5,159.5,8.103706
2021-01-15,-66.5,160.5,8.109424
2021-01-15,-66.5,161.5,8.130672
2021-01-15,-66.5,162.5,8.146096
2021-01-15,-66.5,163.5,8.159911
2021-01-15,-66.5,164.5,8.175881
2021-01-15,-66.5,165.5,8.171795
2021-01-15,-66.5,166.5,8.141304
2021-01-15,-66.5,167.5,8.11724
2021-01-15,-66.5,168.5,8.104246
2021-01-15,-66.5,169.5,8.10008
2021-01-15,-66.5,170.5,8.095681
2021-01-15,-66.5,171.5,8.095424
2021-01-15,-66.5,172.5,8.0928545
2021-01-15,-66.5,173.5,8.092968
2021-01-15,-66.5,174.5,8.09309
2021-01-15,-66.5,175.5,8.092069
2021-01-15,-66.5,176.5,8.092039
2021-01-15,-66.5,177.5,8.094343
2021-01-15,-66.5,178.5,8.09329
2021-01-15,-66.5,179.5,8.09329
2021-01-15,-65.5,100.5,8.137048
2021-01-15,-65.5,104.5,8.171925
2021-01-15,-65.5,105.5,8.171925
2021-01-15,-65.5,106.5,8.179381
2021-01-15,-65.5,107.5,8.2014265
2021-01-15,-65.5,108.5,8.201196
2021-01-15,-65.5,109.5,8.19152
2021-01-15,-65.5,110.5,8.180598
2021-01-15,-65.5,111.5,8.199728
2021-01-15,-65.5,112.5,8.199728
2021-01-15,-65.5,114.5,8.170094
2021-01-15,-65.5,115.5,8.170094
2021-01-15,-65.5,116.5,8.13541
2021-01-15,-65.5,117.5,8.142567
2021-01-15,-65.5,118.5,8.138113
2021-01-15,-65.5,119.5,8.144184
2021-01-15,-65.5,120.5,8.160116
2021-01-15,-65.5,121.5,8.154342
2021-01-15,-65.5,122.5,8.157803
2021-01-15,-65.5,123.5,8.16323
2021-01-15,-65.5,124.5,8.163476
2021-01-15,-65.5,125.5,8.123393
2021-01-15,-65.5,126.5,8.112419
2021-01-15,-65.5,127.5,8.155131
2021-01-15,-65.5,128.5,8.154781
2021-01-15,-65.5,129.5,8.116792
2021-01-15,-65.5,130.5,8.138482
2021-01-15,-65.5,131.5,8.15287
2021-01-15,-65.5,132.5,8.154066
2021-01-15,-65.5,133.5,8.142978
2021-01-15,-65.5,134.5,8.133475
2021-01-15,-65.5,135.5,8.098648
2021-01-15,-65.5,136.5,8.118309
2021-01-15,-65.5,137.5,8.123013
2021-01-15,-65.5,138.5,8.127567
2021-01-15,-65.5,139.5,8.122968
2021-01-15,-65.5,140.5,8.120568
2021-01-15,-65.5,141.5,8.122146
2021-01-15,-65.5,142.5,8.109644
2021-01-15,-65.5,143.5,8.108212
2021-01-15,-65.5,144.5,8.106093
2021-01-15,-65.5,145.5,8.108379
2021-01-15,-65.5,146.5,8.116333
2021-01-15,-65.5,147.5,8.122149
2021-01-15,-65.5,148.5,8.123144
2021-01-15,-65.5,149.5,8.119115
2021-01-15,-65.5,150.5,8.113032
2021-01-15,-65.5,151.5,8.115987
2021-01-15,-65.5,152.5,8.116527
2021-01-15,-65.5,153.5,8.107364
2021-01-15,-65.5,154.5,8.107614
2021-01-15,-65.5,155.5,8.105414
2021-01-15,-65.5,156.5,8.103359
2021-01-15,-65.5,157.5,8.10714
2021-01-15,-65.5,158.5,8.099302
2021-01-15,-65.5,159.5,8.099405
2021-01-15,-65.5,160.5,8.107784
2021-01-15,-65.5,161.5,8.122953
2021-01-15,-65.5,162.5,8.115352
2021-01-15,-65.5,163.5,8.124853
2021-01-15,-65.5,164.5,8.140089
2021-01-15,-65.5,165.5,8.141871
2021-01-15,-65.5,166.5,8.121617
2021-01-15,-65.5,167.5,8.109813
2021-01-15,-65.5,168.5,8.100449
2021-01-15,-65.5,169.5,8.093413
2021-01-15,-65.5,170.5,8.092875
2021-01-15,-65.5,171.5,8.095655
2021-01-15,-65.5,172.5,8.092531
2021-01-15,-65.5,173.5,8.090225
2021-01-15,-65.5,174.5,8.0935335
