year,season,lat,sst
2019,Spring,-10.0,27.52661407692308
2019,Summer,-10.0,29.338736576923072
2019,Winter,-10.0,26.506854807692307
2020,Autumn,-10.0,29.39959257692308
2020,Spring,-10.0,28.315638012820514
2020,Summer,-10.0,29.82030311538461
2020,Winter,-10.0,27.470666807692307
2021,Autumn,-10.0,28.99543379487179
2021,Spring,-10.0,28.456902576923078
2021,Summer,-10.0,29.615270153846154
2021,Winter,-10.0,27.35838415384616
2022,Autumn,-10.0,29.66655012820513
2022,Spring,-10.0,28.972763076923076
2022,Summer,-10.0,29.511445141025643
2022,Winter,-10.0,28.01384137179487
2023,Autumn,-10.0,29.3560652948718
2023,Spring,-10.0,27.97165696153846
2023,Summer,-10.0,29.354234807692308
2023,Winter,-10.0,27.29747385897436
2024,Autumn,-10.0,29.575333384615387
2024,Spring,-10.0,28.755109333333333
2024,Summer,-10.0,29.9312931025641
2024,Winter,-10.0,27.51159769230769


