Latitude,Longitude,Season,sst
-44.0,110.0,Autumn,11.443781628205128
-44.0,110.0,Spring,10.032242541794872
-44.0,110.0,Summer,11.770515632564104
-44.0,110.0,Winter,10.092461442307693
-44.0,112.0,Autumn,11.509811897435897
-44.0,112.0,Spring,10.08584955076923
-44.0,112.0,Summer,11.872026072820512
-44.0,112.0,Winter,10.12791812179487
-44.0,114.0,Autumn,11.576773442307692
-44.0,114.0,Spring,10.11169969076923
-44.0,114.0,Summer,11.944226253076925
-44.0,114.0,Winter,10.169994775641026
-44.0,116.0,Autumn,11.619913128205129
-44.0,116.0,Spring,10.097767882307693
-44.0,116.0,Summer,11.995895544102561
-44.0,116.0,Winter,10.161610230769229
-44.0,118.0,Autumn,11.663218467948719
-44.0,118.0,Spring,10.082107554871795
-44.0,118.0,Summer,12.05782834102564
-44.0,118.0,Winter,10.11673332051282
-44.0,120.0,Autumn,11.765163301282051
-44.0,120.0,Spring,10.111627462051281
-44.0,120.0,Summer,12.158569254102565
-44.0,120.0,Winter,10.11988983974359
-44.0,122.0,Autumn,11.91391439102564
-44.0,122.0,Spring,10.170052621794872
-44.0,122.0,Summer,12.262003328461539
-44.0,122.0,Winter,10.191295980769228
-44.0,124.0,Autumn,12.05899476923077
-44.0,124.0,Spring,10.222627338205127
-44.0,124.0,Summer,12.345729324358976
-44.0,124.0,Winter,10.280534929487178
-44.0,126.0,Autumn,12.17237542948718
-44.0,126.0,Spring,10.26724258076923
-44.0,126.0,Summer,12.433849651794873
-44.0,126.0,Winter,10.348709006410255
-44.0,128.0,Autumn,12.239106237179486
-44.0,128.0,Spring,10.297952531538462
-44.0,128.0,Summer,12.513459934871795
-44.0,128.0,Winter,10.382821339743591
-44.0,130.0,Autumn,12.287382224358973
-44.0,130.0,Spring,10.32228225897436
-44.0,130.0,Summer,12.586035781794871
-44.0,130.0,Winter,10.415491256410256
-44.0,132.0,Autumn,12.374689794871793
-44.0,132.0,Spring,10.377976023076924
-44.0,132.0,Summer,12.688251795128204
-44.0,132.0,Winter,10.497876487179488
-44.0,134.0,Autumn,12.527908102564103
-44.0,134.0,Spring,10.48048241025641
-44.0,134.0,Summer,12.851701553333333
-44.0,134.0,Winter,10.61531625
-44.0,136.0,Autumn,12.7408891474359
-44.0,136.0,Spring,10.640830396153847
-44.0,136.0,Summer,13.102065197179487
-44.0,136.0,Winter,10.745993487179488
-44.0,138.0,Autumn,13.00069880128205
-44.0,138.0,Spring,10.873657737435897
-44.0,138.0,Summer,13.411238666410258
-44.0,138.0,Winter,10.935789339743591
-44.0,140.0,Autumn,13.29349251923077
-44.0,140.0,Spring,11.129317578974357
-44.0,140.0,Summer,13.709085671282052
-44.0,140.0,Winter,11.217886647435897
-44.0,142.0,Autumn,13.659644346153845
-44.0,142.0,Spring,11.399326112051282
-44.0,142.0,Summer,14.041642452820513
-44.0,142.0,Winter,11.574674262820514
-44.0,144.0,Autumn,14.046738121794872
-44.0,144.0,Spring,11.700561725384617
-44.0,144.0,Summer,14.421994196153847
-44.0,144.0,Winter,11.900874147435898
-44.0,146.0,Autumn,14.35264575
-44.0,146.0,Spring,12.001440584615386
-44.0,146.0,Summer,14.74909887897436
-44.0,146.0,Winter,12.144783801282053
-44.0,148.0,Autumn,14.768698012820513
-44.0,148.0,Spring,12.361222099487179
-44.0,148.0,Summer,15.135285972820512
-44.0,148.0,Winter,12.46347042948718
-44.0,150.0,Autumn,15.118219384615385
-44.0,150.0,Spring,12.621757879487177
-44.0,150.0,Summer,15.422950772820514
-44.0,150.0,Winter,12.740722346153845
-44.0,152.0,Autumn,15.002920320512821
-44.0,152.0,Spring,12.498915094358972
-44.0,152.0,Summer,15.290157291025642
-44.0,152.0,Winter,12.65606471153846
-44.0,154.0,Autumn,14.770276692307691
-44.0,154.0,Spring,12.286507103589743
-44.0,154.0,Summer,15.097066622820513
-44.0,154.0,Winter,12.424636903846155
-44.0,156.0,Autumn,14.662216987179486
-44.0,156.0,Spring,12.201839609487179
-44.0,156.0,Summer,15.060302680769231
-44.0,156.0,Winter,12.253498474358972
-44.0,158.0,Autumn,14.642608884615385
-44.0,158.0,Spring,12.195311943589743
-44.0,158.0,Summer,15.070786366666667
-44.0,158.0,Winter,12.197735999999999
-44.0,160.0,Autumn,14.645841820512821
-44.0,160.0,Spring,12.19509643
-44.0,160.0,Summer,15.056564723333333
-44.0,160.0,Winter,12.218746262820511
-42.0,110.0,Autumn,12.986354923076924
-42.0,110.0,Spring,10.884623063076923
-42.0,110.0,Summer,13.193622852307692
-42.0,110.0,Winter,11.088544262820514
-42.0,112.0,Autumn,13.057168576923077
-42.0,112.0,Spring,10.96604670948718
-42.0,112.0,Summer,13.306311891538462
-42.0,112.0,Winter,11.15061537179487
-42.0,114.0,Autumn,13.140458532051282
-42.0,114.0,Spring,11.028611876153846
-42.0,114.0,Summer,13.40540758153846
-42.0,114.0,Winter,11.234296307692306
-42.0,116.0,Autumn,13.210891743589743
-42.0,116.0,Spring,11.055799712564102
-42.0,116.0,Summer,13.484868731538462
-42.0,116.0,Winter,11.264524698717949
-42.0,118.0,Autumn,13.252328493589744
-42.0,118.0,Spring,11.059039533076925
-42.0,118.0,Summer,13.550560004871796
-42.0,118.0,Winter,11.210052512820512
-42.0,120.0,Autumn,13.304875025641026
