year,season,lat,sst
1990,Spring,-10.0,27.75397232051282
1990,Summer,-40.0,16.47309508974359
1990,Summer,-30.0,23.103044428571433
1990,Summer,-20.0,27.45601187878788
1990,Summer,-10.0,29.28401569230769
1990,Winter,-40.0,13.466223762820514
1990,Winter,-30.0,19.94500480952381
1990,Winter,-20.0,24.270670424242425
1990,Winter,-10.0,27.17729783333333
1991,Autumn,-40.0,15.939841525641027
1991,Autumn,-30.0,22.98621490476191
1991,Autumn,-20.0,26.830688272727272
1991,Autumn,-10.0,28.496950653846156
1991,Spring,-40.0,12.936546403846153
1991,Spring,-30.0,20.046056619047622
1991,Spring,-20.0,24.42322309090909
1991,Spring,-10.0,27.591739974358973
1991,Summer,-40.0,16.03499130128205
1991,Summer,-30.0,23.170134476190473
1991,Summer,-20.0,26.999166454545456
1991,Summer,-10.0,29.067074141025643
1991,Winter,-40.0,13.356044987179487
1991,Winter,-30.0,20.27652661904762
1991,Winter,-20.0,24.254500272727274
1991,Winter,-10.0,26.76882214102564
1992,Autumn,-40.0,16.159037416666667
1992,Autumn,-30.0,22.69421395238095
1992,Autumn,-20.0,27.02156518181818
1992,Autumn,-10.0,28.996489512820514
1992,Spring,-40.0,12.925316089743589
1992,Spring,-30.0,20.00439366666667
1992,Spring,-20.0,24.47981193939394
1992,Spring,-10.0,27.817525256410253
1992,Summer,-40.0,16.04425001923077
1992,Summer,-30.0,22.922974523809525
1992,Summer,-20.0,27.05736215151515
1992,Summer,-10.0,29.206673397435896
1992,Winter,-40.0,13.291606826923077
1992,Winter,-30.0,20.062728571428572
1992,Winter,-20.0,24.27746336363636
1992,Winter,-10.0,27.01436876923077
1993,Autumn,-40.0,15.91794119871795
1993,Autumn,-30.0,22.477559380952382
1993,Autumn,-20.0,26.60226787878788
1993,Autumn,-10.0,28.482644012820515
1993,Spring,-40.0,13.216855602564102
1993,Spring,-30.0,20.097654666666667
1993,Spring,-20.0,24.378938939393937
1993,Spring,-10.0,27.425384833333336
1993,Summer,-40.0,16.19034230128205
1993,Summer,-30.0,23.050378476190478
1993,Summer,-20.0,26.722573272727274
1993,Summer,-10.0,28.942021141025645
1993,Winter,-40.0,13.150312134615385
1993,Winter,-30.0,20.229393571428574
1993,Winter,-20.0,23.992118333333337
1993,Winter,-10.0,26.750972410256413
1994,Autumn,-40.0,15.907261326923077
1994,Autumn,-30.0,22.966018714285713
1994,Autumn,-20.0,26.832651606060605
1994,Autumn,-10.0,28.547494769230767
1994,Spring,-40.0,12.787712102564102
1994,Spring,-30.0,20.43809319047619
1994,Spring,-20.0,24.64649657575758
1994,Spring,-10.0,27.496872858974356
1994,Summer,-40.0,15.814059743589745
1994,Summer,-30.0,22.96311204761905
1994,Summer,-20.0,27.22529657575758
1994,Summer,-10.0,29.134916346153847
1994,Winter,-40.0,13.343165044871796
1994,Winter,-30.0,20.316513476190476
1994,Winter,-20.0,24.004992454545455
1994,Winter,-10.0,26.4689371025641
1995,Autumn,-40.0,15.321519621794872
1995,Autumn,-30.0,23.073455999999997
1995,Autumn,-20.0,27.29813321212121
1995,Autumn,-10.0,28.845395384615387
1995,Spring,-40.0,12.739422378205129
1995,Spring,-30.0,20.662425142857142
1995,Spring,-20.0,24.93397809090909
1995,Spring,-10.0,28.12406135897436
1995,Summer,-40.0,15.908895160256408
1995,Summer,-30.0,23.276373190476193
1995,Summer,-20.0,27.53028606060606
1995,Summer,-10.0,29.18156064102564
1995,Winter,-40.0,12.856088461538462
1995,Winter,-30.0,20.24877795238095
1995,Winter,-20.0,24.197282848484846
1995,Winter,-10.0,27.007710692307693
1996,Autumn,-40.0,15.618143198717947
1996,Autumn,-30.0,23.16818138095238
1996,Autumn,-20.0,27.25275084848485
1996,Autumn,-10.0,28.892403756410257
1996,Spring,-40.0,12.653934871794872
1996,Spring,-30.0,20.459413142857144
1996,Spring,-20.0,25.090783515151514
1996,Spring,-10.0,28.32628864102564
1996,Summer,-40.0,15.810964333333336
1996,Summer,-30.0,23.650032190476193
1996,Summer,-20.0,27.713770060606056
1996,Summer,-10.0,29.373951064102567
1996,Winter,-40.0,12.814337237179489
1996,Winter,-30.0,20.437317190476193
1996,Winter,-20.0,24.52861696969697
1996,Winter,-10.0,27.370283884615386
1997,Autumn,-40.0,15.87143689102564
1997,Autumn,-30.0,23.281726952380954
1997,Autumn,-20.0,27.063867212121213
1997,Autumn,-10.0,28.26334608974359
1997,Spring,-40.0,13.228559282051284
1997,Spring,-30.0,20.503669952380957
1997,Spring,-20.0,24.522083303030303
1997,Spring,-10.0,27.2733151025641
1997,Summer,-40.0,16.272113487179485
1997,Summer,-30.0,23.279409
1997,Summer,-20.0,27.530768666666663
1997,Summer,-10.0,29.15039873076923
1997,Winter,-40.0,13.19820460897436
1997,Winter,-30.0,20.497029047619048
1997,Winter,-20.0,24.08082118181818
1997,Winter,-10.0,26.42818332051282
1998,Autumn,-40.0,15.711761903846153
1998,Autumn,-30.0,23.81663080952381
1998,Autumn,-20.0,28.008018090909093
1998,Autumn,-10.0,29.422502410256413
1998,Spring,-40.0,13.103617301282052
1998,Spring,-30.0,20.96133885714286
1998,Spring,-20.0,25.589010121212123
1998,Spring,-10.0,28.673008858974356
1998,Summer,-40.0,16.431840865384615
1998,Summer,-30.0,23.582936333333333
1998,Summer,-20.0,27.499856575757576
1998,Summer,-10.0,29.466700974358975
1998,Winter,-40.0,13.303292557692307
1998,Winter,-30.0,21.121131523809524
1998,Winter,-20.0,25.253947424242426
1998,Winter,-10.0,27.851273435897436
1999,Autumn,-40.0,16.264821294871794
1999,Autumn,-30.0,23.68124304761905
1999,Autumn,-20.0,27.69175548484849
1999,Autumn,-10.0,29.170043615384618
1999,Spring,-40.0,13.65290180128205
1999,Spring,-30.0,20.43897419047619
1999,Spring,-20.0,25.014645151515154
1999,Spring,-10.0,27.95087816666667
1999,Summer,-40.0,16.57480301923077
1999,Summer,-30.0,23.462822
1999,Summer,-20.0,27.632763272727274
1999,Summer,-10.0,29.404004282051286
1999,Winter,-40.0,13.480486852564104
1999,Winter,-30.0,20.759042047619047
1999,Winter,-20.0,24.607662303030306
1999,Winter,-10.0,26.888497564102565
2000,Autumn,-40.0,16.17968953205128
2000,Autumn,-30.0,23.34783042857143
2000,Autumn,-20.0,27.338691575757576
2000,Autumn,-10.0,28.892579
2000,Spring,-40.0,13.525182416666667
2000,Spring,-30.0,20.370440904761903
2000,Spring,-20.0,24.78907727272727
2000,Spring,-10.0,28.36181002564102
2000,Summer,-40.0,16.599069243589742
2000,Summer,-30.0,23.29276380952381
2000,Summer,-20.0,27.352809181818184
2000,Summer,-10.0,29.232893
2000,Winter,-40.0,13.470009551282052
2000,Winter,-30.0,20.01950880952381
2000,Winter,-20.0,23.93303078787879
2000,Winter,-10.0,26.683449384615383
2001,Autumn,-40.0,16.389626371794872
2001,Autumn,-30.0,23.07637052380952
2001,Autumn,-20.0,27.121137363636365
2001,Autumn,-10.0,29.024172102564105
2001,Spring,-40.0,13.39328767948718
2001,Spring,-30.0,20.481108142857142
2001,Spring,-20.0,24.993468636363634
2001,Spring,-10.0,28.085962397435896
2001,Summer,-40.0,16.548207967948716
2001,Summer,-30.0,23.190940190476194
2001,Summer,-20.0,27.409259000000002
2001,Summer,-10.0,29.27066151282051
2001,Winter,-40.0,13.70419176923077
2001,Winter,-30.0,20.556271666666667
2001,Winter,-20.0,24.296768515151513
2001,Winter,-10.0,27.11548641025641
2002,Autumn,-40.0,16.108852442307693
2002,Autumn,-30.0,23.141232047619052
2002,Autumn,-20.0,27.560829575757577
2002,Autumn,-10.0,29.222425833333332
2002,Spring,-40.0,13.02743442948718
2002,Spring,-30.0,20.23401919047619
2002,Spring,-20.0,24.784672393939392
2002,Spring,-10.0,28.08651624358974
2002,Summer,-40.0,16.076912371794872
2002,Summer,-30.0,23.174587285714285
2002,Summer,-20.0,27.582254939393938
2002,Summer,-10.0,29.51362151282051
2002,Winter,-40.0,13.447507121794873
2002,Winter,-30.0,20.423419857142857
2002,Winter,-20.0,24.36329087878788
2002,Winter,-10.0,26.962467102564105
2003,Autumn,-40.0,16.118959596153847
2003,Autumn,-30.0,23.16408390476191
2003,Autumn,-20.0,27.592768606060606
2003,Autumn,-10.0,29.13854469230769
2003,Spring,-40.0,12.98729287820513
2003,Spring,-30.0,20.288155047619046
2003,Spring,-20.0,24.709580212121214
2003,Spring,-10.0,28.17396446153846
2003,Summer,-40.0,16.17592469871795
2003,Summer,-30.0,23.18098361904762
2003,Summer,-20.0,27.56783393939394
2003,Summer,-10.0,29.473008153846155
2003,Winter,-40.0,13.410142724358975
2003,Winter,-30.0,20.516993714285714
2003,Winter,-20.0,24.440333818181816
2003,Winter,-10.0,27.18792897435897
2004,Autumn,-40.0,15.53147260897436
2004,Autumn,-30.0,23.27057480952381
2004,Autumn,-20.0,27.2556486969697
2004,Autumn,-10.0,29.09106928205128
2004,Spring,-40.0,13.124885987179487
2004,Spring,-30.0,20.46236461904762
2004,Spring,-20.0,24.646993969696968
2004,Spring,-10.0,27.678372141025637
2004,Summer,-40.0,15.942448679487178
2004,Summer,-30.0,23.39805757142857
2004,Summer,-20.0,27.485934272727274
2004,Summer,-10.0,29.426677282051283
2004,Winter,-40.0,12.89321803846154
2004,Winter,-30.0,20.480305380952384
2004,Winter,-20.0,24.185170939393938
2004,Winter,-10.0,26.729595551282056
2005,Autumn,-40.0,15.99268017948718
2005,Autumn,-30.0,23.125128666666665
2005,Autumn,-20.0,27.46990593939394
2005,Autumn,-10.0,29.09742032051282
2005,Spring,-40.0,13.281850493589744
2005,Spring,-30.0,20.47090438095238
2005,Spring,-20.0,24.746157424242426
2005,Spring,-10.0,28.243712679487174
2005,Summer,-40.0,16.163700865384616
2005,Summer,-30.0,22.954382476190478
2005,Summer,-20.0,27.448180121212122
2005,Summer,-10.0,29.76986532051282
2005,Winter,-40.0,13.47637173076923
2005,Winter,-30.0,20.81094942857143
2005,Winter,-20.0,24.463016848484845
2005,Winter,-10.0,27.20214148717949
2006,Autumn,-40.0,15.574143679487179
2006,Autumn,-30.0,22.959436428571433
2006,Autumn,-20.0,27.21047215151516
2006,Autumn,-10.0,29.03129269230769
2006,Spring,-40.0,13.122580083333332
2006,Spring,-30.0,20.43499028571429
2006,Spring,-20.0,24.63847575757576
2006,Spring,-10.0,27.40389078205128
2006,Summer,-40.0,16.023191346153848
2006,Summer,-30.0,23.074523904761904
2006,Summer,-20.0,27.290695636363637
2006,Summer,-10.0,29.45426176923077
2006,Winter,-40.0,13.027700794871796
2006,Winter,-30.0,20.44925280952381
2006,Winter,-20.0,24.105884393939395
2006,Winter,-10.0,26.824549846153843
2007,Autumn,-40.0,16.262423205128204
2007,Autumn,-30.0,23.044901666666664
2007,Autumn,-20.0,27.09501075757576
2007,Autumn,-10.0,28.82604262820513
2007,Spring,-40.0,13.233025666666668
2007,Spring,-30.0,20.404822285714285
2007,Spring,-20.0,24.87450554545455
2007,Spring,-10.0,28.079048666666665
2007,Summer,-40.0,16.53799530769231
2007,Summer,-30.0,23.042105380952382
2007,Summer,-20.0,27.389654060606063
2007,Summer,-10.0,29.493747628205128
2007,Winter,-40.0,13.336587275641028
2007,Winter,-30.0,20.371972666666665
2007,Winter,-20.0,24.360389909090912
2007,Winter,-10.0,26.911168012820514
2008,Autumn,-40.0,16.054969807692306
2008,Autumn,-30.0,23.28759395238095
2008,Autumn,-20.0,27.463334181818183
2008,Autumn,-10.0,28.69384803846154
2008,Spring,-40.0,13.037456153846152
2008,Spring,-30.0,20.421768904761908
2008,Spring,-20.0,25.08527924242424
2008,Spring,-10.0,28.08474696153846
2008,Summer,-40.0,16.269565576923075
2008,Summer,-30.0,23.483818333333332
2008,Summer,-20.0,27.75699509090909
2008,Summer,-10.0,29.327693243589746
2008,Winter,-40.0,13.371610064102564
2008,Winter,-30.0,20.25145542857143
2008,Winter,-20.0,24.20010839393939
2008,Winter,-10.0,26.740261064102565
2009,Autumn,-40.0,15.985669057692308
2009,Autumn,-30.0,23.120737571428567
